X,Y,OBJECTID,NAME,SCHOOL_STREET_ADDRESS,SCHOOL_CITY,SCHOOL_STATE,SCHOOL_COUNTY,PUBLIC_SCHOOL_DISTRICT,FOR_PROFIT_OR_NON_PROFIT,SCHOOL_ZIP,SCHOOL_WEBSITE
-122.313683918707,47.6656784213099,1,Academy for Precision Learning - Lower School,5031 University Way NE,Seattle,WA,King,Seattle,Non-profit,98105,aplschool.org
-122.317984194521,47.6627212463519,2,Academy for Precision Learning - Upper School,4555 Roosevelt Way NE,Seattle,WA,King,Seattle,Non-profit,98105,www.aplschool.org
-122.292838950987,47.6748532393789,3,Assumption / St. Bridget School,6220 32nd Ave NE,Seattle,WA,King,Seattle,Non-profit,98115,www.asbschool.org
-122.320348684825,47.639315821742,4,Bertschi School,2227 Tenth Avenue E,Seattle,WA,King,Seattle,Non-profit,98144,bertschi.org
-122.321711046302,47.7192256231184,5,Billings Middle School,12351 8th Ave NE,Seattle,WA,King,Seattle,Non-profit,98125,www.billingsmiddleschool.org
-122.33552591436,47.688910581619,6,Bishop Blanchet High School,8200 Wallingford Ave N,Seattle,WA,King,Seattle,Non-profit,98103,www.bishopblanchet.org
-122.296912140968,47.5994920180409,7,Bridges Academy Seattle,2706 S Jackson St,Seattle,WA,King,Seattle Public Schools,Non-profit,98144,seattle.bridges.edu
-122.324865742281,47.7006297430978,8,Brightmont Academy - Seattle,9750 3rd Ave NE Ste 102,Seattle,WA,King,Seattle,For profit,98115,www.brightmontacademy.com
-122.353499939836,47.7138744769484,9,Christ the King School,415 N 117th St,Seattle,WA,King,Seattle,Non-profit,98133,https://school.ckseattle.org/
-122.289047542983,47.6807294668486,10,Concordia Lutheran School,7040 36th Ave NE,Seattle,WA,King,Seattle,Non-profit,98115,www.concordiaseattle.com
-122.317222343308,47.6991655832148,11,Dartmoor School,9622 Roosevelt Way NE,Seattle,WA,King,Seattle,For profit,98115,www.dartmoorschool.org
-122.268030994471,47.5430985276177,12,Derech Emunah Seattle Jewish Girls High School,5142 S Holly St,Seattle,WA,King,Seattle,Non-profit,98118,derechemunah.com
-122.306561964126,47.6947145744147,13,El Taller,9024 20th Ave NE,Seattle,WA,King,Seattle Public Schools,For profit,98115,eltallerseattle.com
-122.286757299779,47.6180672533816,14,Epiphany School,3611 E Denny Way,Seattle,WA,King,Seattle,Non-profit,98122,www.epiphanyschool.org
-122.369329621921,47.5132016529484,15,Explorer West Middle School,10015 28th Ave SW,Seattle,WA,King,Highline,Non-profit,98146,explorer-west.org
-122.325288685047,47.6324541777212,16,Fusion Academy,214 E Galer St Suite 200,Seattle,WA,King,Seattle,For profit,98102,https://www.fusionacademy.com/seattle/?crnt=seattle
-122.305109672793,47.5839122027222,17,Giddens School,2120 21st Ave S,Seattle,WA,King,Seattle,Non-profit,98144,www.giddensschool.org
-122.306496232588,47.588305639245,18,Hamlin Robinson School,1701 20th Ave S,Seattle,WA,King,Seattle,Non-profit,98144,hamlinrobinson.org
-122.359463950912,47.5169757054761,19,Holy Family Bilingual Catholic School,9615 20th Ave SW,Seattle,WA,King,Seattle,Non-profit,98106,holyfamilybilingual.org
